Architecture,Best_Resolution,Core_Speed,Dedicated,Direct_X,Integrated,L2_Cache,Manufacturer,Max_Power,Memory,Memory_Bandwidth,Memory_Bus,Memory_Speed,Memory_Type,Name,Notebook_GPU,Open_GL,Pixel_Rate,Process,ROPs,Release_Date,Resolution_WxH,SLI_Crossfire,Shader,TMUs,Texture_Rate,Release_Year
Tesla G92b ,1920 x 1080,738.0,Yes,DX 10.0,No,0.0,Nvidia,141.0,1024 MB ,64.0,256.0,1000.0,GDDR3,GeForce GTS 150,No,3.3,12.0,55.0,16,"
01-Mar-2009 ",2560x1600,Yes,4.0,64.0,47.0,2009.0
R600 XT ,1366 x 768,580.6,Yes,DX 10,No,0.0,AMD,215.0,512 MB ,106.0,512.0,828.0,GDDR3,Radeon HD 2900 XT 512MB,No,3.1,12.0,80.0,16,"
14-May-2007 ",2560x1600,Yes,4.0,16.0,12.0,2007.0
R600 PRO ,1366 x 768,615.4,Yes,DX 10,No,0.0,AMD,200.0,512 MB ,51.2,256.0,800.0,GDDR3,Radeon HD 2900 Pro,No,3.1,10.0,80.0,16,"
07-Dec-2007 ",2560x1600,Yes,4.0,16.0,10.0,2007.0
RV630 ,1024 x 768,715.4,Yes,DX 10,No,0.0,AMD,17.6,256 MB ,36.8,128.0,1150.0,GDDR4,Radeon HD 2600 XT Diamond Edition,No,3.3,3.0,65.0,4,"
01-Jul-2007 ",2560x1600,Yes,4.0,8.0,7.0,2007.0
RV630 ,1024 x 768,546.0,Yes,DX 10,No,0.0,AMD,45.0,256 MB ,22.4,128.0,700.0,GDDR3,Radeon HD 2600 XT,No,3.1,3.0,65.0,4,"
28-Jun-2007 ",2560x1600,Yes,4.0,8.0,6.0,2007.0
RV630 ,1024 x 768,683.0,Yes,DX 10,No,0.0,AMD,50.0,256 MB ,35.2,128.0,1100.0,GDDR4,Radeon HD 2600 XT 256MB GDDR4,No,3.3,3.0,65.0,4,"
26-Jun-2007 ",2560x1600,Yes,4.0,8.0,6.0,2007.0
R700 RV790 XT ,1920 x 1080,870.0,Yes,DX 10.1,No,0.0,AMD,190.0,2048 MB ,134.4,256.0,1050.0,GDDR5,Radeon HD 4890 Sapphire Vapor-X OC 2GB Edition,No,3.3,14.0,55.0,16,"
13-Jul-2009 ",2560x1600,Yes,4.1,40.0,35.0,2009.0
R600 GT ,1024 x 768,630.2,Yes,DX 10,No,0.0,AMD,150.0,256 MB ,51.2,256.0,800.0,GDDR3,Radeon HD 2900 GT,No,3.1,7.0,80.0,12,"
06-Nov-2007 ",2560x1600,Yes,4.0,12.0,7.0,2007.0
Pitcairn XT GL ,1920 x 1080,779.0,Yes,DX 11.2,No,0.0,AMD,150.0,2048 MB ,160.0,256.0,1250.0,GDDR5,FirePro D300,No,4.3,25.0,28.0,32,"
18-Jan-2014 ",4096x2160,Yes,5.0,80.0,62.0,2014.0
RV100 ,1920 x 1080,535.2,Yes,DX 7,No,0.0,AMD,32.0,64 MB ,2.9,64.0,366.0,DDR,Radeon 7000 64mb,No,1.4,2.2,79.0,32,"
02-Jan-2001 ",1600x1200,No,1.0,7.2,4.0,2001.0
NV28GL A2 ,1920 x 1080,506.0,Yes,DX 8.1,No,0.0,Nvidia,16.8,128 MB ,5.2,128.0,325.0,DDR,Quadro4 980 XGL,No,1.5,1.0,150.0,4,"
01-Nov-2002 ",4096x2160,No,1.3,8.0,2.0,2002.0
Fermi GF110 ,1920 x 1080,650.0,Yes,DX 12.0,No,768.0,Nvidia,250.0,6144 MB ,177.6,384.0,925.0,GDDR5,Tesla M2090,No,4.5,31.0,40.0,48,"
25-Jul-2011 ",2560x1600,Yes,5.0,56.0,36.0,2011.0
Kepler GK110 ,1920 x 1080,705.0,Yes,DX 12.0,No,1536.0,Nvidia,225.0,5120 MB ,168.0,320.0,1050.0,GDDR5,Tesla K20,No,4.5,59.0,28.0,32,"
01-Nov-2012 ",4096x2160,No,5.0,89.6,102.4,2012.0
Kepler GK110 ,2560 x 1600,706.0,Yes,DX 12.0,No,1536.0,Nvidia,245.0,12288 MB ,288.4,384.0,1502.0,GDDR5,Tesla K40c,No,4.5,34.0,28.0,48,"
12-Nov-2013 ",4096x2160,Yes,5.0,240.0,169.0,2013.0
RV200 ,1920 x 1080,556.0,Yes,DX 7,No,0.0,AMD,15.4,64 MB ,5.8,128.0,360.0,DDR,All-in-Wonder Radeon 7500,No,1.4,1.4,81.0,32,"
22-Jan-2002 ",1600x1200,No,2.4,6.6,3.0,2002.0
GCN 1.1 Oland XT + Kaveri ,1600 x 900,1050.0,Yes,DX 12.0,No,4608.0,AMD,150.0,3072 MB ,57.6,128.0,900.0,DDR3,Radeon R7 250 v2 MSI OC 2GB + Radeon R7 7870K Dual,No,4.4,18.0,28.0,8 (x2),"
28-May-2015 ",2560x1600,Yes,5.0,28.0,62.0,2015.0
Kepler GK104 x2 ,1920 x 1080,626.2,Yes,DX 11.1,No,0.0,Nvidia,300.0,8192 MB ,320.0,512.0,1250.0,GDDR5,Tesla K10,No,4.2,32.6,28.0,32,"
15-May-2012 ",4096x2160,No,5.0,67.2,112.0,2012.0
Kepler GK110 ,1920 x 1080,732.0,Yes,DX 12.0,No,1536.0,Nvidia,235.0,6144 MB ,249.6,384.0,1300.0,GDDR5,Tesla K20X,No,4.5,40.4,28.0,32,"
12-Nov-2012 ",4096x2160,Yes,5.0,227.2,190.6,2012.0
Skylake GT3-E ,1366 x 768,300.0,No,DX 12.1,Yes,512.0,Intel,28.0,2048 MB ,34.1,128.0,1067.0,DDR4,Iris i3 6167U,Yes,4.4,2.0,14.0,2,"
01-Sep-2015 ",4096x2304,No,5.0,8.0,8.0,2015.0
